Rank,Club,Country,Level,Elo,From,To,date,updated_at
74.0,Leicester,ENG,1,1651.60998535,2024-12-04,2024-12-08,2024-12-05,2024-12-05 10:19:10
77.0,Burnley,ENG,2,1646.90795898,2024-12-03,2024-12-06,2024-12-05,2024-12-05 10:19:10
78.0,Sevilla,ESP,1,1646.71105957,2024-12-03,2024-12-08,2024-12-05,2024-12-05 10:19:10
80.0,Mallorca,ESP,1,1645.45581055,2024-12-04,2024-12-06,2024-12-05,2024-12-05 10:19:10
81.0,Reims,FRA,1,1644.3770752,2024-12-04,2024-12-08,2024-12-05,2024-12-05 10:19:10
84.0,Leeds,ENG,2,1637.01074219,2024-12-02,2024-12-07,2024-12-05,2024-12-05 10:19:10
88.0,Celta,ESP,1,1629.53710938,2024-12-02,2024-12-06,2024-12-05,2024-12-05 10:19:10
91.0,Valencia,ESP,1,1622.93481445,2024-12-02,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Strasbourg,FRA,1,1604.54943848,2024-12-01,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Getafe,ESP,1,1604.484375,2024-12-02,2024-12-09,2024-12-05,2024-12-05 10:19:10
,Alaves,ESP,1,1599.67993164,2024-12-01,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Auxerre,FRA,1,1597.8302002,2024-12-02,2024-12-06,2024-12-05,2024-12-05 10:19:10
,Rayo Vallecano,ESP,1,1596.1842041,2024-12-02,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Las Palmas,ESP,1,1588.17492676,2024-12-01,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Ipswich,ENG,1,1586.953125,2024-12-04,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Montpellier,FRA,1,1585.39831543,2024-12-02,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Southampton,ENG,1,1585.15942383,2024-12-05,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Espanyol,ESP,1,1576.63806152,2024-12-01,2024-12-09,2024-12-05,2024-12-05 10:19:10
,Leganes,ESP,1,1567.46875,2024-12-01,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Lorient,FRA,2,1566.11376953,2024-11-29,2024-12-06,2024-12-05,2024-12-05 10:19:10
,Levante,ESP,2,1553.76403809,2024-12-02,2024-12-06,2024-12-05,2024-12-05 10:19:10
,Nantes,FRA,1,1540.07519531,2024-12-01,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Valladolid,ESP,1,1539.68554688,2024-12-01,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Metz,FRA,2,1535.2064209,2024-11-29,2024-12-16,2024-12-05,2024-12-05 10:19:10
,Le Havre,FRA,1,1528.17724609,2024-12-02,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Sunderland,ENG,2,1519.765625,2024-11-30,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Oviedo,ESP,2,1514.82385254,2024-11-30,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Paris FC,FRA,2,1512.94812012,2024-11-29,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Elche,ESP,2,1509.93493652,2024-12-01,2024-12-07,2024-12-05,2024-12-05 10:19:10
,Saint-Etienne,FRA,1,1509.42810059,2024-12-01,2024-12-08,2024-12-05,2024-12-05 10:19:10
,Angers,FRA,1,1508.85656738,2024-12-02,2024-12-07,2024-12-05,2024-12-05 10:19:10
1.0,Liverpool,ENG,1,1992.67333984,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
2.0,Man City,ENG,1,1982.75402832,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
3.0,Arsenal,ENG,1,1981.40966797,2024-12-05,2024-12-08,2024-12-06,2024-12-06 10:18:47
5.0,Real Madrid,ESP,1,1926.73095703,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
8.0,Barcelona,ESP,1,1906.59155273,2024-12-04,2024-12-07,2024-12-06,2024-12-06 10:18:47
10.0,Chelsea,ENG,1,1885.03845215,2024-12-05,2024-12-08,2024-12-06,2024-12-06 10:18:47
11.0,Paris SG,FRA,1,1883.74572754,2024-12-05,2024-12-06,2024-12-06,2024-12-06 10:18:47
14.0,Atletico,ESP,1,1839.81164551,2024-12-06,2024-12-08,2024-12-06,2024-12-06 10:18:47
19.0,Tottenham,ENG,1,1821.4588623,2024-12-06,2024-12-08,2024-12-06,2024-12-06 10:18:47
21.0,Newcastle,ENG,1,1813.00817871,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
23.0,Lille,FRA,1,1803.71801758,2024-12-02,2024-12-06,2024-12-06,2024-12-06 10:18:47
25.0,Aston Villa,ENG,1,1798.00732422,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
26.0,Man United,ENG,1,1788.9197998,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
28.0,Bilbao,ESP,1,1779.39331055,2024-12-05,2024-12-08,2024-12-06,2024-12-06 10:18:47
29.0,Monaco,FRA,1,1777.14355469,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
31.0,Brighton,ENG,1,1764.59765625,2024-12-06,2024-12-08,2024-12-06,2024-12-06 10:18:47
33.0,Marseille,FRA,1,1755.81237793,2024-12-02,2024-12-08,2024-12-06,2024-12-06 10:18:47
35.0,Fulham,ENG,1,1753.22741699,2024-12-06,2024-12-08,2024-12-06,2024-12-06 10:18:47
38.0,Bournemouth,ENG,1,1749.95690918,2024-12-06,2024-12-08,2024-12-06,2024-12-06 10:18:47
40.0,Villarreal,ESP,1,1740.95214844,2024-12-05,2024-12-08,2024-12-06,2024-12-06 10:18:47
41.0,Lyon,FRA,1,1739.18493652,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
42.0,Crystal Palace,ENG,1,1738.54724121,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
43.0,Brentford,ENG,1,1735.21142578,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
44.0,Sociedad,ESP,1,1731.9152832,2024-12-04,2024-12-08,2024-12-06,2024-12-06 10:18:47
46.0,West Ham,ENG,1,1725.29052734,2024-12-04,2024-12-09,2024-12-06,2024-12-06 10:18:47
47.0,Girona,ESP,1,1722.14489746,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
50.0,Lens,FRA,1,1711.47460938,2024-12-02,2024-12-08,2024-12-06,2024-12-06 10:18:47
52.0,Forest,ENG,1,1708.81689453,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
54.0,Everton,ENG,1,1702.08337402,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
57.0,Brest,FRA,1,1696.828125,2024-12-02,2024-12-06,2024-12-06,2024-12-06 10:18:47
61.0,Nice,FRA,1,1671.44519043,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
63.0,Wolves,ENG,1,1666.69360352,2024-12-05,2024-12-09,2024-12-06,2024-12-06 10:18:47
65.0,Rennes,FRA,1,1662.34887695,2024-12-02,2024-12-08,2024-12-06,2024-12-06 10:18:47
66.0,Osasuna,ESP,1,1661.45043945,2024-12-03,2024-12-08,2024-12-06,2024-12-06 10:18:47
67.0,Toulouse,FRA,1,1660.50866699,2024-12-03,2024-12-07,2024-12-06,2024-12-06 10:18:47
69.0,Betis,ESP,1,1656.63208008,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
74.0,Leicester,ENG,1,1651.60998535,2024-12-04,2024-12-08,2024-12-06,2024-12-06 10:18:47
77.0,Burnley,ENG,2,1646.90795898,2024-12-03,2024-12-06,2024-12-06,2024-12-06 10:18:47
78.0,Sevilla,ESP,1,1646.71105957,2024-12-03,2024-12-08,2024-12-06,2024-12-06 10:18:47
80.0,Mallorca,ESP,1,1645.45581055,2024-12-04,2024-12-06,2024-12-06,2024-12-06 10:18:47
81.0,Reims,FRA,1,1644.3770752,2024-12-04,2024-12-08,2024-12-06,2024-12-06 10:18:47
84.0,Leeds,ENG,2,1637.01074219,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
87.0,Celta,ESP,1,1629.53710938,2024-12-06,2024-12-06,2024-12-06,2024-12-06 10:18:47
92.0,Valencia,ESP,1,1622.93481445,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Strasbourg,FRA,1,1604.54943848,2024-12-01,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Getafe,ESP,1,1604.484375,2024-12-02,2024-12-09,2024-12-06,2024-12-06 10:18:47
,Alaves,ESP,1,1599.67993164,2024-12-01,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Auxerre,FRA,1,1597.8302002,2024-12-02,2024-12-06,2024-12-06,2024-12-06 10:18:47
,Rayo Vallecano,ESP,1,1596.1842041,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Las Palmas,ESP,1,1588.17492676,2024-12-01,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Ipswich,ENG,1,1586.953125,2024-12-04,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Montpellier,FRA,1,1585.39831543,2024-12-02,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Southampton,ENG,1,1579.57214355,2024-12-05,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Espanyol,ESP,1,1576.63806152,2024-12-01,2024-12-09,2024-12-06,2024-12-06 10:18:47
,Leganes,ESP,1,1567.46875,2024-12-01,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Lorient,FRA,2,1566.11376953,2024-11-29,2024-12-06,2024-12-06,2024-12-06 10:18:47
,Levante,ESP,2,1553.76403809,2024-12-02,2024-12-06,2024-12-06,2024-12-06 10:18:47
,Nantes,FRA,1,1540.07519531,2024-12-01,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Valladolid,ESP,1,1539.68554688,2024-12-01,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Metz,FRA,2,1535.2064209,2024-11-29,2024-12-09,2024-12-06,2024-12-06 10:18:47
,Le Havre,FRA,1,1528.17724609,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Sunderland,ENG,2,1519.765625,2024-11-30,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Oviedo,ESP,2,1514.82385254,2024-11-30,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Paris FC,FRA,2,1512.94812012,2024-11-29,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Elche,ESP,2,1509.93493652,2024-12-01,2024-12-07,2024-12-06,2024-12-06 10:18:47
,Saint-Etienne,FRA,1,1509.42810059,2024-12-01,2024-12-08,2024-12-06,2024-12-06 10:18:47
,Angers,FRA,1,1508.85656738,2024-12-02,2024-12-07,2024-12-06,2024-12-06 10:18:47
1.0,Liverpool,ENG,1,1992.67333984,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
2.0,Man City,ENG,1,1982.75402832,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
3.0,Arsenal,ENG,1,1981.40966797,2024-12-05,2024-12-08,2024-12-07,2024-12-07 10:17:54
5.0,Real Madrid,ESP,1,1926.73095703,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
8.0,Barcelona,ESP,1,1906.59155273,2024-12-04,2024-12-07,2024-12-07,2024-12-07 10:17:54
10.0,Chelsea,ENG,1,1885.03845215,2024-12-05,2024-12-08,2024-12-07,2024-12-07 10:17:54
11.0,Paris SG,FRA,1,1877.82250977,2024-12-07,2024-12-10,2024-12-07,2024-12-07 10:17:54
13.0,Atletico,ESP,1,1839.81164551,2024-12-07,2024-12-08,2024-12-07,2024-12-07 10:17:54
19.0,Tottenham,ENG,1,1821.4588623,2024-12-06,2024-12-08,2024-12-07,2024-12-07 10:17:54
21.0,Newcastle,ENG,1,1813.00817871,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
22.0,Lille,FRA,1,1809.80761719,2024-12-07,2024-12-11,2024-12-07,2024-12-07 10:17:54
25.0,Aston Villa,ENG,1,1798.00732422,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
26.0,Man United,ENG,1,1788.9197998,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
28.0,Bilbao,ESP,1,1779.39331055,2024-12-05,2024-12-08,2024-12-07,2024-12-07 10:17:54
29.0,Monaco,FRA,1,1777.14355469,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
31.0,Brighton,ENG,1,1764.59765625,2024-12-06,2024-12-08,2024-12-07,2024-12-07 10:17:54
34.0,Marseille,FRA,1,1755.81237793,2024-12-07,2024-12-08,2024-12-07,2024-12-07 10:17:54
35.0,Fulham,ENG,1,1753.22741699,2024-12-06,2024-12-08,2024-12-07,2024-12-07 10:17:54
38.0,Bournemouth,ENG,1,1749.95690918,2024-12-06,2024-12-08,2024-12-07,2024-12-07 10:17:54
40.0,Villarreal,ESP,1,1740.95214844,2024-12-05,2024-12-08,2024-12-07,2024-12-07 10:17:54
41.0,Lyon,FRA,1,1739.18493652,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
42.0,Crystal Palace,ENG,1,1738.54724121,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
43.0,Brentford,ENG,1,1735.21142578,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
44.0,Sociedad,ESP,1,1731.9152832,2024-12-04,2024-12-08,2024-12-07,2024-12-07 10:17:54
46.0,West Ham,ENG,1,1725.29052734,2024-12-04,2024-12-09,2024-12-07,2024-12-07 10:17:54
47.0,Girona,ESP,1,1722.14489746,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
50.0,Lens,FRA,1,1711.47460938,2024-12-02,2024-12-08,2024-12-07,2024-12-07 10:17:54
52.0,Forest,ENG,1,1708.81689453,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
54.0,Everton,ENG,1,1702.08337402,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
58.0,Brest,FRA,1,1690.73840332,2024-12-07,2024-12-10,2024-12-07,2024-12-07 10:17:54
61.0,Nice,FRA,1,1671.44519043,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
63.0,Wolves,ENG,1,1666.69360352,2024-12-05,2024-12-09,2024-12-07,2024-12-07 10:17:54
65.0,Rennes,FRA,1,1662.34887695,2024-12-02,2024-12-08,2024-12-07,2024-12-07 10:17:54
66.0,Osasuna,ESP,1,1661.45043945,2024-12-03,2024-12-08,2024-12-07,2024-12-07 10:17:54
67.0,Toulouse,FRA,1,1660.50866699,2024-12-03,2024-12-07,2024-12-07,2024-12-07 10:17:54
69.0,Betis,ESP,1,1656.63208008,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
74.0,Leicester,ENG,1,1651.60998535,2024-12-04,2024-12-08,2024-12-07,2024-12-07 10:17:54
77.0,Sevilla,ESP,1,1646.71105957,2024-12-07,2024-12-08,2024-12-07,2024-12-07 10:17:54
78.0,Reims,FRA,1,1644.3770752,2024-12-07,2024-12-08,2024-12-07,2024-12-07 10:17:54
80.0,Burnley,ENG,2,1642.71911621,2024-12-07,2024-12-16,2024-12-07,2024-12-07 10:17:54
83.0,Celta,ESP,1,1639.02600098,2024-12-07,2024-12-14,2024-12-07,2024-12-07 10:17:54
84.0,Leeds,ENG,2,1637.01074219,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
85.0,Mallorca,ESP,1,1635.96679688,2024-12-07,2024-12-14,2024-12-07,2024-12-07 10:17:54
91.0,Valencia,ESP,1,1622.93481445,2024-12-07,2024-12-07,2024-12-07,2024-12-07 10:17:54
100.0,Strasbourg,FRA,1,1604.54943848,2024-12-07,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Getafe,ESP,1,1604.484375,2024-12-02,2024-12-09,2024-12-07,2024-12-07 10:17:54
,Auxerre,FRA,1,1603.75341797,2024-12-07,2024-12-14,2024-12-07,2024-12-07 10:17:54
,Alaves,ESP,1,1599.67993164,2024-12-01,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Rayo Vallecano,ESP,1,1596.1842041,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Las Palmas,ESP,1,1588.17492676,2024-12-01,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Ipswich,ENG,1,1586.953125,2024-12-04,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Montpellier,FRA,1,1585.39831543,2024-12-02,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Southampton,ENG,1,1579.57214355,2024-12-05,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Espanyol,ESP,1,1576.63806152,2024-12-01,2024-12-09,2024-12-07,2024-12-07 10:17:54
,Lorient,FRA,2,1570.69628906,2024-12-07,2024-12-16,2024-12-07,2024-12-07 10:17:54
,Leganes,ESP,1,1567.46875,2024-12-01,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Levante,ESP,2,1545.84313965,2024-12-07,2024-12-16,2024-12-07,2024-12-07 10:17:54
,Nantes,FRA,1,1540.07519531,2024-12-01,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Valladolid,ESP,1,1539.68554688,2024-12-01,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Metz,FRA,2,1535.2064209,2024-11-29,2024-12-09,2024-12-07,2024-12-07 10:17:54
,Le Havre,FRA,1,1528.17724609,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Sunderland,ENG,2,1519.765625,2024-11-30,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Oviedo,ESP,2,1514.82385254,2024-11-30,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Paris FC,FRA,2,1512.94812012,2024-11-29,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Elche,ESP,2,1509.93493652,2024-12-01,2024-12-07,2024-12-07,2024-12-07 10:17:54
,Saint-Etienne,FRA,1,1509.42810059,2024-12-01,2024-12-08,2024-12-07,2024-12-07 10:17:54
,Angers,FRA,1,1508.85656738,2024-12-02,2024-12-07,2024-12-07,2024-12-07 10:17:54
1.0,Liverpool,ENG,1,1992.67333984,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
2.0,Man City,ENG,1,1982.75402832,2024-12-08,2024-12-11,2024-12-08,2024-12-08 10:17:42
3.0,Arsenal,ENG,1,1981.40966797,2024-12-05,2024-12-08,2024-12-08,2024-12-08 10:17:42
5.0,Real Madrid,ESP,1,1926.73095703,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
8.0,Barcelona,ESP,1,1906.59155273,2024-12-08,2024-12-11,2024-12-08,2024-12-08 10:17:42
10.0,Chelsea,ENG,1,1885.03845215,2024-12-05,2024-12-08,2024-12-08,2024-12-08 10:17:42
11.0,Paris SG,FRA,1,1877.82250977,2024-12-07,2024-12-10,2024-12-08,2024-12-08 10:17:42
13.0,Atletico,ESP,1,1839.81164551,2024-12-07,2024-12-08,2024-12-08,2024-12-08 10:17:42
19.0,Tottenham,ENG,1,1821.4588623,2024-12-06,2024-12-08,2024-12-08,2024-12-08 10:17:42
21.0,Newcastle,ENG,1,1813.00817871,2024-12-08,2024-12-14,2024-12-08,2024-12-08 10:17:42
22.0,Lille,FRA,1,1809.80761719,2024-12-07,2024-12-11,2024-12-08,2024-12-08 10:17:42
25.0,Aston Villa,ENG,1,1798.00732422,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
26.0,Man United,ENG,1,1788.9197998,2024-12-08,2024-12-12,2024-12-08,2024-12-08 10:17:42
28.0,Bilbao,ESP,1,1779.39331055,2024-12-05,2024-12-08,2024-12-08,2024-12-08 10:17:42
29.0,Monaco,FRA,1,1777.14355469,2024-12-08,2024-12-11,2024-12-08,2024-12-08 10:17:42
31.0,Brighton,ENG,1,1764.59765625,2024-12-06,2024-12-08,2024-12-08,2024-12-08 10:17:42
34.0,Marseille,FRA,1,1755.81237793,2024-12-07,2024-12-08,2024-12-08,2024-12-08 10:17:42
35.0,Fulham,ENG,1,1753.22741699,2024-12-06,2024-12-08,2024-12-08,2024-12-08 10:17:42
38.0,Bournemouth,ENG,1,1749.95690918,2024-12-06,2024-12-08,2024-12-08,2024-12-08 10:17:42
40.0,Villarreal,ESP,1,1740.95214844,2024-12-05,2024-12-08,2024-12-08,2024-12-08 10:17:42
41.0,Lyon,FRA,1,1739.18493652,2024-12-08,2024-12-12,2024-12-08,2024-12-08 10:17:42
42.0,Crystal Palace,ENG,1,1738.54724121,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
43.0,Brentford,ENG,1,1735.21142578,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
44.0,Sociedad,ESP,1,1731.9152832,2024-12-04,2024-12-08,2024-12-08,2024-12-08 10:17:42
46.0,West Ham,ENG,1,1725.29052734,2024-12-04,2024-12-09,2024-12-08,2024-12-08 10:17:42
47.0,Girona,ESP,1,1722.14489746,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
50.0,Lens,FRA,1,1711.47460938,2024-12-02,2024-12-08,2024-12-08,2024-12-08 10:17:42
52.0,Forest,ENG,1,1708.81689453,2024-12-08,2024-12-14,2024-12-08,2024-12-08 10:17:42
54.0,Everton,ENG,1,1702.08337402,2024-12-08,2024-12-14,2024-12-08,2024-12-08 10:17:42
58.0,Brest,FRA,1,1690.73840332,2024-12-07,2024-12-10,2024-12-08,2024-12-08 10:17:42
61.0,Nice,FRA,1,1671.44519043,2024-12-08,2024-12-12,2024-12-08,2024-12-08 10:17:42
63.0,Wolves,ENG,1,1666.69360352,2024-12-05,2024-12-09,2024-12-08,2024-12-08 10:17:42
65.0,Rennes,FRA,1,1662.34887695,2024-12-02,2024-12-08,2024-12-08,2024-12-08 10:17:42
66.0,Osasuna,ESP,1,1661.45043945,2024-12-03,2024-12-08,2024-12-08,2024-12-08 10:17:42
67.0,Toulouse,FRA,1,1660.50866699,2024-12-08,2024-12-13,2024-12-08,2024-12-08 10:17:42
69.0,Betis,ESP,1,1656.63208008,2024-12-08,2024-12-12,2024-12-08,2024-12-08 10:17:42
74.0,Leicester,ENG,1,1651.60998535,2024-12-04,2024-12-08,2024-12-08,2024-12-08 10:17:42
77.0,Sevilla,ESP,1,1646.71105957,2024-12-07,2024-12-08,2024-12-08,2024-12-08 10:17:42
78.0,Reims,FRA,1,1644.3770752,2024-12-07,2024-12-08,2024-12-08,2024-12-08 10:17:42
80.0,Burnley,ENG,2,1642.71911621,2024-12-07,2024-12-10,2024-12-08,2024-12-08 10:17:42
83.0,Celta,ESP,1,1639.02600098,2024-12-07,2024-12-14,2024-12-08,2024-12-08 10:17:42
84.0,Leeds,ENG,2,1637.01074219,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
85.0,Mallorca,ESP,1,1635.96679688,2024-12-07,2024-12-14,2024-12-08,2024-12-08 10:17:42
91.0,Valencia,ESP,1,1622.93481445,2024-12-08,2024-12-13,2024-12-08,2024-12-08 10:17:42
100.0,Strasbourg,FRA,1,1604.54943848,2024-12-07,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Getafe,ESP,1,1604.484375,2024-12-02,2024-12-09,2024-12-08,2024-12-08 10:17:42
,Auxerre,FRA,1,1603.75341797,2024-12-07,2024-12-14,2024-12-08,2024-12-08 10:17:42
,Alaves,ESP,1,1599.67993164,2024-12-01,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Rayo Vallecano,ESP,1,1596.1842041,2024-12-08,2024-12-14,2024-12-08,2024-12-08 10:17:42
,Las Palmas,ESP,1,1588.17492676,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
,Ipswich,ENG,1,1586.953125,2024-12-04,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Montpellier,FRA,1,1585.39831543,2024-12-02,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Southampton,ENG,1,1579.57214355,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
,Espanyol,ESP,1,1576.63806152,2024-12-01,2024-12-09,2024-12-08,2024-12-08 10:17:42
,Lorient,FRA,2,1570.69628906,2024-12-07,2024-12-22,2024-12-08,2024-12-08 10:17:42
,Leganes,ESP,1,1567.46875,2024-12-01,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Levante,ESP,2,1545.84313965,2024-12-07,2024-12-22,2024-12-08,2024-12-08 10:17:42
,Nantes,FRA,1,1540.07519531,2024-12-01,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Valladolid,ESP,1,1539.68554688,2024-12-08,2024-12-13,2024-12-08,2024-12-08 10:17:42
,Metz,FRA,2,1535.2064209,2024-11-29,2024-12-09,2024-12-08,2024-12-08 10:17:42
,Le Havre,FRA,1,1528.17724609,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
,Sunderland,ENG,2,1519.765625,2024-12-08,2024-12-10,2024-12-08,2024-12-08 10:17:42
,Oviedo,ESP,2,1514.82385254,2024-11-30,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Paris FC,FRA,2,1512.94812012,2024-12-08,2024-12-22,2024-12-08,2024-12-08 10:17:42
,Elche,ESP,2,1509.93493652,2024-12-08,2024-12-22,2024-12-08,2024-12-08 10:17:42
,Saint-Etienne,FRA,1,1509.42810059,2024-12-01,2024-12-08,2024-12-08,2024-12-08 10:17:42
,Angers,FRA,1,1508.85656738,2024-12-08,2024-12-15,2024-12-08,2024-12-08 10:17:42
1.0,Liverpool,ENG,1,1992.67333984,2024-12-05,2024-12-10,2024-12-09,2024-12-09 10:19:45
3.0,Man City,ENG,1,1977.91821289,2024-12-09,2024-12-11,2024-12-09,2024-12-09 10:19:45
4.0,Arsenal,ENG,1,1976.97753906,2024-12-09,2024-12-11,2024-12-09,2024-12-09 10:19:45
5.0,Real Madrid,ESP,1,1934.74169922,2024-12-08,2024-12-10,2024-12-09,2024-12-09 10:19:45
8.0,Barcelona,ESP,1,1901.83374023,2024-12-08,2024-12-11,2024-12-09,2024-12-09 10:19:45
10.0,Chelsea,ENG,1,1892.92736816,2024-12-09,2024-12-12,2024-12-09,2024-12-09 10:19:45
11.0,Paris SG,FRA,1,1877.82250977,2024-12-07,2024-12-10,2024-12-09,2024-12-09 10:19:45
13.0,Atletico,ESP,1,1842.32824707,2024-12-09,2024-12-11,2024-12-09,2024-12-09 10:19:45
20.0,Tottenham,ENG,1,1813.56994629,2024-12-09,2024-12-12,2024-12-09,2024-12-09 10:19:45
21.0,Lille,FRA,1,1809.80761719,2024-12-08,2024-12-11,2024-12-09,2024-12-09 10:19:45
24.0,Newcastle,ENG,1,1801.19189453,2024-12-09,2024-12-14,2024-12-09,2024-12-09 10:19:45
25.0,Aston Villa,ENG,1,1800.27893066,2024-12-08,2024-12-10,2024-12-09,2024-12-09 10:19:45
26.0,Bilbao,ESP,1,1786.81469727,2024-12-09,2024-12-11,2024-12-09,2024-12-09 10:19:45
27.0,Monaco,FRA,1,1782.81030273,2024-12-09,2024-12-11,2024-12-09,2024-12-09 10:19:45
29.0,Man United,ENG,1,1777.3548584,2024-12-08,2024-12-12,2024-12-09,2024-12-09 10:19:45
31.0,Brighton,ENG,1,1763.16101074,2024-12-09,2024-12-15,2024-12-09,2024-12-09 10:19:45
32.0,Marseille,FRA,1,1760.73913574,2024-12-09,2024-12-14,2024-12-09,2024-12-09 10:19:45
34.0,Fulham,ENG,1,1757.65942383,2024-12-09,2024-12-14,2024-12-09,2024-12-09 10:19:45
35.0,Bournemouth,ENG,1,1755.39868164,2024-12-09,2024-12-16,2024-12-09,2024-12-09 10:19:45
40.0,Brentford,ENG,1,1747.02770996,2024-12-08,2024-12-15,2024-12-09,2024-12-09 10:19:45
